QUERY_ID,RANK,DOC_ID,ENGINE
1,1,21064,BM25+Reranker
1,2,42166,BM25+Reranker
1,3,13702,BM25+Reranker
1,4,20592,BM25+Reranker
1,5,15740,BM25+Reranker
1,6,53641,BM25+Reranker
1,7,31601,BM25+Reranker
1,8,54765,BM25+Reranker
1,9,20506,BM25+Reranker
1,10,47161,BM25+Reranker
1,11,20971,BM25+Reranker
1,12,42972,BM25+Reranker
1,13,72884,BM25+Reranker
1,14,37613,BM25+Reranker
1,15,20970,BM25+Reranker
1,16,96796,BM25+Reranker
1,17,21210,BM25+Reranker
1,18,2966,BM25+Reranker
1,19,143246,BM25+Reranker
1,20,21229,BM25+Reranker
1,21,21159,BM25+Reranker
1,22,3225,BM25+Reranker
1,23,34126,BM25+Reranker
1,24,21207,BM25+Reranker
1,25,20869,BM25+Reranker
1,26,14522,BM25+Reranker
1,27,53841,BM25+Reranker
1,28,20871,BM25+Reranker
1,29,20969,BM25+Reranker
1,30,133563,BM25+Reranker
1,31,21285,BM25+Reranker
1,32,20586,BM25+Reranker
1,33,20505,BM25+Reranker
1,34,20870,BM25+Reranker
1,35,20584,BM25+Reranker
1,36,15180,BM25+Reranker
1,37,18035,BM25+Reranker
1,38,32994,BM25+Reranker
1,39,14515,BM25+Reranker
1,40,32997,BM25+Reranker
1,41,31689,BM25+Reranker
1,42,18324,BM25+Reranker
1,43,21225,BM25+Reranker
1,44,33082,BM25+Reranker
1,45,33886,BM25+Reranker
1,46,43098,BM25+Reranker
1,47,20585,BM25+Reranker
1,48,14560,BM25+Reranker
1,49,32995,BM25+Reranker
1,50,54860,BM25+Reranker
1,51,40643,BM25+Reranker
1,52,161,BM25+Reranker
1,53,14473,BM25+Reranker
1,54,22192,BM25+Reranker
1,55,15669,BM25+Reranker
1,56,29513,BM25+Reranker
1,57,21875,BM25+Reranker
1,58,34231,BM25+Reranker
1,59,16923,BM25+Reranker
1,60,17125,BM25+Reranker
1,61,17232,BM25+Reranker
1,62,120415,BM25+Reranker
1,63,20888,BM25+Reranker
1,64,5709,BM25+Reranker
1,65,20887,BM25+Reranker
