QUERY_ID,RANK,DOC_ID,ENGINE
1,1,20870,BM25
1,2,53641,BM25
1,3,15740,BM25
1,4,20971,BM25
1,5,20592,BM25
1,6,21229,BM25
1,7,18324,BM25
1,8,32994,BM25
1,9,20969,BM25
1,10,20970,BM25
1,11,20869,BM25
1,12,47161,BM25
1,13,21159,BM25
1,14,21285,BM25
1,15,13702,BM25
1,16,31601,BM25
1,17,20586,BM25
1,18,20871,BM25
1,19,96796,BM25
1,20,21207,BM25
1,21,42166,BM25
1,22,20506,BM25
1,23,18035,BM25
1,24,14560,BM25
1,25,32997,BM25
1,26,15180,BM25
1,27,14522,BM25
1,28,3225,BM25
1,29,20584,BM25
1,30,33886,BM25
1,31,143246,BM25
1,32,21875,BM25
1,33,34126,BM25
1,34,133563,BM25
1,35,21064,BM25
1,36,21210,BM25
1,37,21225,BM25
1,38,53841,BM25
1,39,37613,BM25
1,40,2966,BM25
1,41,54860,BM25
1,42,42972,BM25
1,43,72884,BM25
1,44,32995,BM25
1,45,40643,BM25
1,46,14515,BM25
1,47,33082,BM25
1,48,20505,BM25
1,49,29394,BM25
1,50,8854,BM25
1,51,36752,BM25
1,52,161,BM25
1,53,20585,BM25
1,54,21892,BM25
1,55,34231,BM25
1,56,43098,BM25
1,57,54765,BM25
1,58,22817,BM25
1,59,16923,BM25
1,60,59226,BM25
1,61,15197,BM25
1,62,14903,BM25
1,63,29356,BM25
1,64,17232,BM25
1,65,21193,BM25
1,66,18310,BM25
1,67,34256,BM25
1,68,150309,BM25
1,69,23135,BM25
1,70,20888,BM25
1,71,31505,BM25
1,72,40466,BM25
1,73,19386,BM25
1,74,22813,BM25
1,75,81234,BM25
1,76,20894,BM25
1,77,42412,BM25
1,78,15723,BM25
1,79,45033,BM25
1,80,31644,BM25
1,81,31689,BM25
1,82,43499,BM25
1,83,20631,BM25
1,84,9219,BM25
1,85,44612,BM25
1,86,48995,BM25
1,87,41103,BM25
1,88,25241,BM25
1,89,31631,BM25
1,90,51538,BM25
1,91,70421,BM25
1,92,21171,BM25
1,93,22192,BM25
1,94,31533,BM25
1,95,21842,BM25
1,96,20986,BM25
1,97,21792,BM25
1,98,17023,BM25
1,99,130848,BM25
1,100,138812,BM25
1,101,18251,BM25
1,102,14495,BM25
1,103,57236,BM25
1,104,13647,BM25
1,105,29062,BM25
1,106,14555,BM25
1,107,20582,BM25
1,108,21198,BM25
1,109,17308,BM25
1,110,15836,BM25
1,111,43519,BM25
1,112,18241,BM25
1,113,114574,BM25
1,114,18315,BM25
1,115,21264,BM25
1,116,18902,BM25
1,117,25672,BM25
1,118,22806,BM25
1,119,21791,BM25
1,120,21794,BM25
1,121,21870,BM25
1,122,18916,BM25
1,123,45381,BM25
1,124,16862,BM25
1,125,22799,BM25
1,126,25637,BM25
1,127,22190,BM25
1,128,133561,BM25
1,129,22809,BM25
1,130,18302,BM25
1,131,14593,BM25
1,132,22832,BM25
1,133,33046,BM25
1,134,31665,BM25
1,135,22106,BM25
1,136,4066,BM25
1,137,20558,BM25
1,138,17280,BM25
1,139,17332,BM25
1,140,22233,BM25
1,141,11596,BM25
1,142,15749,BM25
1,143,21826,BM25
1,144,26446,BM25
1,145,22146,BM25
1,146,22208,BM25
1,147,13661,BM25
1,148,20581,BM25
1,149,21906,BM25
1,150,120415,BM25
1,151,147720,BM25
1,152,4825,BM25
1,153,3665,BM25
1,154,15236,BM25
1,155,20474,BM25
1,156,22117,BM25
1,157,13652,BM25
1,158,33049,BM25
1,159,21235,BM25
1,160,18848,BM25
1,161,16281,BM25
1,162,22152,BM25
1,163,34316,BM25
1,164,117961,BM25
1,165,17960,BM25
1,166,18094,BM25
1,167,33927,BM25
1,168,19400,BM25
1,169,32945,BM25
1,170,34333,BM25
1,171,33050,BM25
1,172,29370,BM25
1,173,9652,BM25
1,174,28937,BM25
1,175,22163,BM25
1,176,31530,BM25
1,177,8469,BM25
1,178,21827,BM25
1,179,21841,BM25
1,180,101491,BM25
1,181,15536,BM25
1,182,143281,BM25
1,183,18385,BM25
1,184,21084,BM25
1,185,31511,BM25
1,186,15669,BM25
1,187,81554,BM25
1,188,20887,BM25
1,189,14473,BM25
1,190,22196,BM25
1,191,22776,BM25
1,192,25392,BM25
1,193,59164,BM25
1,194,29349,BM25
1,195,31612,BM25
1,196,20525,BM25
1,197,23515,BM25
1,198,47722,BM25
1,199,21873,BM25
1,200,13226,BM25
1,201,20943,BM25
1,202,20913,BM25
1,203,32634,BM25
1,204,22795,BM25
1,205,15398,BM25
1,206,26447,BM25
1,207,31670,BM25
1,208,33805,BM25
1,209,21925,BM25
1,210,29376,BM25
1,211,20936,BM25
1,212,47117,BM25
1,213,16171,BM25
1,214,17867,BM25
1,215,20520,BM25
1,216,21052,BM25
1,217,121216,BM25
1,218,45383,BM25
1,219,31335,BM25
1,220,37261,BM25
1,221,20522,BM25
1,222,21227,BM25
1,223,17048,BM25
1,224,19353,BM25
1,225,22168,BM25
1,226,7549,BM25
1,227,13563,BM25
1,228,21246,BM25
1,229,22098,BM25
1,230,15759,BM25
1,231,18417,BM25
1,232,33929,BM25
1,233,28877,BM25
1,234,21497,BM25
1,235,32608,BM25
1,236,34197,BM25
1,237,53003,BM25
1,238,8851,BM25
1,239,33062,BM25
1,240,5709,BM25
1,241,8048,BM25
1,242,59614,BM25
1,243,21891,BM25
1,244,20899,BM25
1,245,20610,BM25
1,246,21194,BM25
1,247,32629,BM25
1,248,17125,BM25
1,249,31117,BM25
1,250,11595,BM25
1,251,11615,BM25
1,252,15762,BM25
1,253,22771,BM25
1,254,32802,BM25
1,255,28915,BM25
1,256,29513,BM25
1,257,11630,BM25
1,258,25235,BM25
1,259,31656,BM25
1,260,82134,BM25
1,261,25230,BM25
1,262,32926,BM25
1,263,71729,BM25
1,264,16104,BM25
1,265,17377,BM25
1,266,34209,BM25
1,267,31548,BM25
