ID,TEXT,SOURCE,1,2,3,4,5,6,7,8,9,10
1,técnica e preço,search log,técnica e preço - Licitação de técnica e preço,"técnica e preço - Licitação de técnica e preço, Proposta técnica","técnica e preço - Licitação de técnica e preço, Proposta técnica, Preço de mercado","técnica e preço - Licitação de técnica e preço, Proposta técnica, Preço de mercado, Proposta de preço","técnica e preço - Licitação de técnica e preço, Proposta técnica, Preço de mercado, Proposta de preço, Preço unitário","técnica e preço - Licitação de técnica e preço, Proposta técnica, Preço de mercado, Proposta de preço, Preço unitário, Proposta","técnica e preço - Licitação de técnica e preço, Proposta técnica, Preço de mercado, Proposta de preço, Preço unitário, Proposta, Bens e serviços de informática","técnica e preço - Licitação de técnica e preço, Proposta técnica, Preço de mercado, Proposta de preço, Preço unitário, Proposta, Bens e serviços de informática, Qualificação técnica","técnica e preço - Licitação de técnica e preço, Proposta técnica, Preço de mercado, Proposta de preço, Preço unitário, Proposta, Bens e serviços de informática, Qualificação técnica, Documento técnico","técnica e preço - Licitação de técnica e preço, Proposta técnica, Preço de mercado, Proposta de preço, Preço unitário, Proposta, Bens e serviços de informática, Qualificação técnica, Documento técnico"
2,restos a pagar,search log,restos a pagar - Recolhimento,"restos a pagar - Recolhimento, Exercício financeiro anterior","restos a pagar - Recolhimento, Exercício financeiro anterior, Passivo circulante","restos a pagar - Recolhimento, Exercício financeiro anterior, Passivo circulante, Juros","restos a pagar - Recolhimento, Exercício financeiro anterior, Passivo circulante, Juros, Cota-parte","restos a pagar - Recolhimento, Exercício financeiro anterior, Passivo circulante, Juros, Cota-parte, Despesas de exercícios anteriores","restos a pagar - Recolhimento, Exercício financeiro anterior, Passivo circulante, Juros, Cota-parte, Despesas de exercícios anteriores, Obrigação","restos a pagar - Recolhimento, Exercício financeiro anterior, Passivo circulante, Juros, Cota-parte, Despesas de exercícios anteriores, Obrigação, Crime contra as finanças públicas","restos a pagar - Recolhimento, Exercício financeiro anterior, Passivo circulante, Juros, Cota-parte, Despesas de exercícios anteriores, Obrigação, Crime contra as finanças públicas, Quitação","restos a pagar - Recolhimento, Exercício financeiro anterior, Passivo circulante, Juros, Cota-parte, Despesas de exercícios anteriores, Obrigação, Crime contra as finanças públicas, Quitação"
3,aditivo a contrato,search log,aditivo a contrato - Termo aditivo,"aditivo a contrato - Termo aditivo, Aditivo qualitativo","aditivo a contrato - Termo aditivo, Aditivo qualitativo, Acréscimo","aditivo a contrato - Termo aditivo, Aditivo qualitativo, Acréscimo, Contrato administrativo","aditivo a contrato - Termo aditivo, Aditivo qualitativo, Acréscimo, Contrato administrativo, Aditivo quantitativo","aditivo a contrato - Termo aditivo, Aditivo qualitativo, Acréscimo, Contrato administrativo, Aditivo quantitativo, Formalização do contrato","aditivo a contrato - Termo aditivo, Aditivo qualitativo, Acréscimo, Contrato administrativo, Aditivo quantitativo, Formalização do contrato, Reformulação","aditivo a contrato - Termo aditivo, Aditivo qualitativo, Acréscimo, Contrato administrativo, Aditivo quantitativo, Formalização do contrato, Reformulação, Atualização","aditivo a contrato - Termo aditivo, Aditivo qualitativo, Acréscimo, Contrato administrativo, Aditivo quantitativo, Formalização do contrato, Reformulação, Atualização","aditivo a contrato - Termo aditivo, Aditivo qualitativo, Acréscimo, Contrato administrativo, Aditivo quantitativo, Formalização do contrato, Reformulação, Atualização"
4,adesão a ata de registro de preços,search log,adesão a ata de registro de preços - Sistema de Registro de Preços,"adesão a ata de registro de preços - Sistema de Registro de Preços, Cláusula obrigatória","adesão a ata de registro de preços - Sistema de Registro de Preços, Cláusula obrigatória, Impugnação","adesão a ata de registro de preços - Sistema de Registro de Preços, Cláusula obrigatória, Impugnação, Contrato de adesão","adesão a ata de registro de preços - Sistema de Registro de Preços, Cláusula obrigatória, Impugnação, Contrato de adesão, Aval","adesão a ata de registro de preços - Sistema de Registro de Preços, Cláusula obrigatória, Impugnação, Contrato de adesão, Aval","adesão a ata de registro de preços - Sistema de Registro de Preços, Cláusula obrigatória, Impugnação, Contrato de adesão, Aval","adesão a ata de registro de preços - Sistema de Registro de Preços, Cláusula obrigatória, Impugnação, Contrato de adesão, Aval","adesão a ata de registro de preços - Sistema de Registro de Preços, Cláusula obrigatória, Impugnação, Contrato de adesão, Aval","adesão a ata de registro de preços - Sistema de Registro de Preços, Cláusula obrigatória, Impugnação, Contrato de adesão, Aval"
5,sobrepreço e superfaturamento,search log,sobrepreço e superfaturamento - Excesso,"sobrepreço e superfaturamento - Excesso, Faturamento","sobrepreço e superfaturamento - Excesso, Faturamento, Preço","sobrepreço e superfaturamento - Excesso, Faturamento, Preço, Licitação","sobrepreço e superfaturamento - Excesso, Faturamento, Preço, Licitação, Validade","sobrepreço e superfaturamento - Excesso, Faturamento, Preço, Licitação, Validade, Obras, serviços ou compras de grande vulto","sobrepreço e superfaturamento - Excesso, Faturamento, Preço, Licitação, Validade, Obras, serviços ou compras de grande vulto, Método de limitação de preços unitários ajustados","sobrepreço e superfaturamento - Excesso, Faturamento, Preço, Licitação, Validade, Obras, serviços ou compras de grande vulto, Método de limitação de preços unitários ajustados, Método de limitação do preço global","sobrepreço e superfaturamento - Excesso, Faturamento, Preço, Licitação, Validade, Obras, serviços ou compras de grande vulto, Método de limitação de preços unitários ajustados, Método de limitação do preço global","sobrepreço e superfaturamento - Excesso, Faturamento, Preço, Licitação, Validade, Obras, serviços ou compras de grande vulto, Método de limitação de preços unitários ajustados, Método de limitação do preço global"
6,restrição a competitividade,search log,restrição a competitividade - Princípio da competição,"restrição a competitividade - Princípio da competição, Concorrência desleal","restrição a competitividade - Princípio da competição, Concorrência desleal, Inexigibilidade de licitação","restrição a competitividade - Princípio da competição, Concorrência desleal, Inexigibilidade de licitação, Ordem econômica","restrição a competitividade - Princípio da competição, Concorrência desleal, Inexigibilidade de licitação, Ordem econômica, Análise SWOT","restrição a competitividade - Princípio da competição, Concorrência desleal, Inexigibilidade de licitação, Ordem econômica, Análise SWOT, Rol taxativo","restrição a competitividade - Princípio da competição, Concorrência desleal, Inexigibilidade de licitação, Ordem econômica, Análise SWOT, Rol taxativo, Importação","restrição a competitividade - Princípio da competição, Concorrência desleal, Inexigibilidade de licitação, Ordem econômica, Análise SWOT, Rol taxativo, Importação, Exportação","restrição a competitividade - Princípio da competição, Concorrência desleal, Inexigibilidade de licitação, Ordem econômica, Análise SWOT, Rol taxativo, Importação, Exportação","restrição a competitividade - Princípio da competição, Concorrência desleal, Inexigibilidade de licitação, Ordem econômica, Análise SWOT, Rol taxativo, Importação, Exportação"
7,acréscimos e supressões,search log,acréscimos e supressões - Acréscimo,"acréscimos e supressões - Acréscimo, Aditivo","acréscimos e supressões - Acréscimo, Aditivo, Supressão","acréscimos e supressões - Acréscimo, Aditivo, Supressão, Complementação","acréscimos e supressões - Acréscimo, Aditivo, Supressão, Complementação, Enquadramento","acréscimos e supressões - Acréscimo, Aditivo, Supressão, Complementação, Enquadramento, Exceção","acréscimos e supressões - Acréscimo, Aditivo, Supressão, Complementação, Enquadramento, Exceção, Excesso","acréscimos e supressões - Acréscimo, Aditivo, Supressão, Complementação, Enquadramento, Exceção, Excesso, Extrapolação","acréscimos e supressões - Acréscimo, Aditivo, Supressão, Complementação, Enquadramento, Exceção, Excesso, Extrapolação, Parcelamento","acréscimos e supressões - Acréscimo, Aditivo, Supressão, Complementação, Enquadramento, Exceção, Excesso, Extrapolação, Parcelamento, Encerramento"
8,obras e serviços de engenharia,search log,obras e serviços de engenharia - Obra pública,"obras e serviços de engenharia - Obra pública, Projeto de engenharia","obras e serviços de engenharia - Obra pública, Projeto de engenharia, Serviços especiais de engenharia","obras e serviços de engenharia - Obra pública, Projeto de engenharia, Serviços especiais de engenharia, Execução de obras e serviços","obras e serviços de engenharia - Obra pública, Projeto de engenharia, Serviços especiais de engenharia, Execução de obras e serviços, Construção civil","obras e serviços de engenharia - Obra pública, Projeto de engenharia, Serviços especiais de engenharia, Execução de obras e serviços, Construção civil, Superfaturamento","obras e serviços de engenharia - Obra pública, Projeto de engenharia, Serviços especiais de engenharia, Execução de obras e serviços, Construção civil, Superfaturamento, Engenharia de estruturas","obras e serviços de engenharia - Obra pública, Projeto de engenharia, Serviços especiais de engenharia, Execução de obras e serviços, Construção civil, Superfaturamento, Engenharia de estruturas, Contratação integrada","obras e serviços de engenharia - Obra pública, Projeto de engenharia, Serviços especiais de engenharia, Execução de obras e serviços, Construção civil, Superfaturamento, Engenharia de estruturas, Contratação integrada","obras e serviços de engenharia - Obra pública, Projeto de engenharia, Serviços especiais de engenharia, Execução de obras e serviços, Construção civil, Superfaturamento, Engenharia de estruturas, Contratação integrada"
9,fiscalizacao de contratos,search log,fiscalizacao de contratos - Contrato administrativo,"fiscalizacao de contratos - Contrato administrativo, Gestão contratual","fiscalizacao de contratos - Contrato administrativo, Gestão contratual, Formalização do contrato","fiscalizacao de contratos - Contrato administrativo, Gestão contratual, Formalização do contrato, Contratante","fiscalizacao de contratos - Contrato administrativo, Gestão contratual, Formalização do contrato, Contratante, Lei de Licitações e Contratos","fiscalizacao de contratos - Contrato administrativo, Gestão contratual, Formalização do contrato, Contratante, Lei de Licitações e Contratos, Critério de fiscalização","fiscalizacao de contratos - Contrato administrativo, Gestão contratual, Formalização do contrato, Contratante, Lei de Licitações e Contratos, Critério de fiscalização, SIASG","fiscalizacao de contratos - Contrato administrativo, Gestão contratual, Formalização do contrato, Contratante, Lei de Licitações e Contratos, Critério de fiscalização, SIASG, Fiscalização tributária","fiscalizacao de contratos - Contrato administrativo, Gestão contratual, Formalização do contrato, Contratante, Lei de Licitações e Contratos, Critério de fiscalização, SIASG, Fiscalização tributária, Termo de contrato","fiscalizacao de contratos - Contrato administrativo, Gestão contratual, Formalização do contrato, Contratante, Lei de Licitações e Contratos, Critério de fiscalização, SIASG, Fiscalização tributária, Termo de contrato, Concessão de garantia"
10,diarias e passagens,search log,diarias e passagens - Passageiro,"diarias e passagens - Passageiro, Viagem a serviço","diarias e passagens - Passageiro, Viagem a serviço, Transporte","diarias e passagens - Passageiro, Viagem a serviço, Transporte, Adicional de embarque e desembarque","diarias e passagens - Passageiro, Viagem a serviço, Transporte, Adicional de embarque e desembarque, Transporte de passageiros","diarias e passagens - Passageiro, Viagem a serviço, Transporte, Adicional de embarque e desembarque, Transporte de passageiros, Custo da fiscalização","diarias e passagens - Passageiro, Viagem a serviço, Transporte, Adicional de embarque e desembarque, Transporte de passageiros, Custo da fiscalização, (Transporte)","diarias e passagens - Passageiro, Viagem a serviço, Transporte, Adicional de embarque e desembarque, Transporte de passageiros, Custo da fiscalização, (Transporte), Deveres","diarias e passagens - Passageiro, Viagem a serviço, Transporte, Adicional de embarque e desembarque, Transporte de passageiros, Custo da fiscalização, (Transporte), Deveres","diarias e passagens - Passageiro, Viagem a serviço, Transporte, Adicional de embarque e desembarque, Transporte de passageiros, Custo da fiscalização, (Transporte), Deveres"
