ID_QUERY,ID_DOCTO,TYPE
158,15147,INDEXACAO_EXTRA
37,15147,INDEXACAO_EXTRA
178,15147,INDEXACAO_EXTRA
14564,15147,INDEXACAO_EXTRA
9219,15147,INDEXACAO_EXTRA
5182,15147,INDEXACAO_EXTRA
15172,15147,INDEXACAO_EXTRA
15177,15147,INDEXACAO_EXTRA
13226,15147,INDEXACAO_EXTRA
7549,15147,INDEXACAO_EXTRA
9969,15147,INDEXACAO_EXTRA
12032,15147,INDEXACAO_EXTRA
5526,15147,INDEXACAO_EXTRA
7299,15147,INDEXACAO_EXTRA
13621,15147,INDEXACAO_EXTRA
13110,15147,INDEXACAO_EXTRA
13280,15147,INDEXACAO_EXTRA
13773,15147,INDEXACAO_EXTRA
13782,15147,INDEXACAO_EXTRA
5435,15147,INDEXACAO_EXTRA
140021,15147,INDEXACAO_EXTRA
13688,15147,INDEXACAO_EXTRA
14931,15147,INDEXACAO_EXTRA
11593,15147,INDEXACAO_EXTRA
14895,15147,INDEXACAO_EXTRA
5436,15147,INDEXACAO_EXTRA
16065,15147,INDEXACAO_EXTRA
15253,15147,INDEXACAO_EXTRA
13661,15147,INDEXACAO_EXTRA
14935,15147,INDEXACAO_EXTRA
16291,15147,INDEXACAO_EXTRA
449,15147,INDEXACAO_EXTRA
41103,15147,INDEXACAO_EXTRA
16330,15147,INDEXACAO_EXTRA
16331,15147,INDEXACAO_EXTRA
9194,15147,INDEXACAO_EXTRA
14853,15147,INDEXACAO_EXTRA
14886,15147,INDEXACAO_EXTRA
51520,15147,INDEXACAO_EXTRA
14692,15147,INDEXACAO_EXTRA
15289,15147,INDEXACAO_EXTRA
13256,15147,INDEXACAO_EXTRA
16315,15147,INDEXACAO_EXTRA
15711,15147,INDEXACAO_EXTRA
17578,15147,INDEXACAO_EXTRA
16869,15147,INDEXACAO_EXTRA
16932,15147,INDEXACAO_EXTRA
17306,15147,INDEXACAO_EXTRA
18047,15147,INDEXACAO_EXTRA
16908,15147,INDEXACAO_EXTRA
19708,15147,INDEXACAO_EXTRA
95491,15147,INDEXACAO_EXTRA
17069,15147,INDEXACAO_EXTRA
18206,15147,INDEXACAO_EXTRA
16996,15147,INDEXACAO_EXTRA
20892,15147,INDEXACAO_EXTRA
20893,15147,INDEXACAO_EXTRA
18079,15147,INDEXACAO_EXTRA
17454,15147,INDEXACAO_EXTRA
18390,15147,INDEXACAO_EXTRA
17023,15147,INDEXACAO_EXTRA
18891,15147,INDEXACAO_EXTRA
21077,15147,INDEXACAO_EXTRA
21186,15147,INDEXACAO_EXTRA
20599,15147,INDEXACAO_EXTRA
21262,15147,INDEXACAO_EXTRA
21245,15147,INDEXACAO_EXTRA
21792,15147,INDEXACAO_EXTRA
21837,15147,INDEXACAO_EXTRA
21250,15147,INDEXACAO_EXTRA
20568,15147,INDEXACAO_EXTRA
