QUERY_ID;QUERY_TEXT
101;Qual é a modalidade de licitação adequada para a concessão remunerada de uso de bens públicos?
102;A citação é considerada válida após o falecimento do responsável se a defesa já foi apresentada?
103;A prestação de garantia contratual é permitida juntamente com a exigência de patrimônio líquido mínimo?
104;A exigência de garantia de participação é permitida juntamente com a exigência de patrimônio líquido mínimo?
105;Quais são as consequências para os responsáveis que realizam despesas sem cobertura contratual?
106;O pregão é adequado para concessões de uso de áreas comerciais em aeroportos?
107;Quais normas devem ser observadas na cessão das áreas comerciais de centrais públicas de abastecimento de gêneros alimentícios?
108;É necessário exigir ao licitante comprovar que já forneceu bens pertinentes e compatíveis com o objeto da licitação?
109;É permitido a extrapolar os limites estabelecidos no art. 65, §§ 1º e 2º, da Lei 8.666/1993 para alterações consensuais qualitativas de contratos de obras e serviços?
110;Qual a responsabilidade do gestor sucessor quando o gestor antecessor omitiu o dever de prestar contas?
111;Qual é a modalidade de licitação utilizada para contratar serviços técnicos necessários à estruturação de projeto de parceria público-privada relativo a infraestrutura de rede de iluminação pública?
112;O que acontece se não houver compatibilidade entre o objeto do certame e as atividades previstas no contrato social da empresa licitante?
113;Quem é responsável pela gestão dos recursos do Fundo Municipal de Saúde?
114;É obrigatória pesquisa de mercado na elaboração do orçamento-base da licitação?
115;A pesquisa de preços correntes no mercado é obrigatória em licitações?
116;O que fazer para verificar a vantajosidade da adesão à ata?
117;É permitida a compensação entre acréscimos e supressões nos contratos administrativos?
118;Quais são as condições para que o restabelecimento total ou parcial de quantitativo de item anteriormente suprimido por aditivo contratual não configure compensação vedada pela jurisprudência do TCU?
119;A Administração pode indicar preferência por marcas em licitações para aquisição de cartuchos de tinta?
120;O TCU é responsável pela fiscalização das ações e serviços de saúde pagos com recursos repassados pela União no âmbito do Sistema Único de Saúde?
121;O que deve ser feito se não for possível obter preços referenciais nos sistemas oficiais para estimativa de custos em processos licitatórios?
122;É necessária ponderação entre a pontuação técnica e a de preço em uma licitação do tipo técnica e preço?
123;Qual é o impacto de valorizar excessivamente um quesito na licitação do tipo técnica e preço?
124;Como a pontuação desarrazoada pode limitar a competitividade nas licitações do tipo técnica e preço?
125;É possível prorrogar um contrato administrativo fora do término do prazo de vigência?
126;Qual é o problema na exigência de atestado de capacidade técnica para contratação de serviços advocatícios por conselho de fiscalização profissional?
127;É necessária reposição de importâncias indevidamente percebidas, de boa-fé, por servidores, em virtude de erro escusável de interpretação de lei por parte do órgão/entidade?
128;É possível aquisição direta quando a falta de produto ou serviço pode colocar em risco a saúde das pessoas?
129;É obrigatória a divulgação dos preços estimados no edital nos pregões para aquisição de medicamentos?
130;A contratação de professores, conferencistas ou instrutores para ministrar cursos de treinamento ou aperfeiçoamento de pessoal se enquadra na inexigibilidade de licitação?
131;Qual é a diferença entre reajuste de preços e repactuação?
132;É possível a aplicação da recomposição mesmo após a aplicação do reajuste previsto no contrato?
133;A retenção de pagamentos é permitida em caso de perda da regularidade fiscal?
134;Por que despesas desnecessárias e anteriores à celebração do contrato são consideradas irregulares?
135;Como o vínculo trabalhista ou societário pré-existente afeta a competitividade das licitantes no certame licitatório?
136;É permitido atribuir pontuação a uma empresa licitante nas licitações de técnica e preço com base na posse de determinados tipos de profissionais em seu quadro permanente?
137;Um erro material deve levar à desclassificação antecipada da proposta?
138;Há vedação à inclusão de novo documento destinado a atestar condição de habilitação preexistente em sede de diligência?
139;A exigência de comprovação de quantitativos mínimos em obras ou serviços com características semelhantes é legal?
140;Qual a extensão da sanção de impedimento de licitar e contratar?
141;Quais documentos são exigidos para habilitação técnico-operacional em certames de obras e serviços de engenharia?
142;Qual a finalidade do controle das autorizações de adesão?
143;Em que situações a apresentação do alvará de funcionamento é permitida na habilitação jurídica?
144;É permitida a acumulação do cargo de secretário municipal com o cargo de professor?
145;A prescrição da pretensão punitiva do TCU afeta o julgamento das contas?
146;O Banco de Preços em Saúde é uma referência de preços válida para a aquisição de medicamentos?
147;É possível a inclusão de serviços já previstos no edital em uma alteração contratual
148;O princípio da legalidade estrita pode ser afastado em favor de outros princípios no procedimento licitatório?
149;Quais fontes devem ser prioritárias na pesquisa de preços para a renovação do contrato de serviços de natureza continuada?
150;Devem ser aceitas nas contratações de software as cartas de exclusividade emitidas pelos próprios fabricantes?
