QUERY_ID,DOC_ID,SCORE,ENGINE,RANK
51,2845,3,(BM25|STS)+Reranker+LLM,1
51,5714,3,(BM25|STS)+Reranker+LLM,2
51,58593,3,(BM25|STS)+Reranker+LLM,4
51,14862,3,(BM25|STS)+Reranker+LLM,5
51,18100,3,(BM25|STS)+Reranker+LLM,9
51,17360,2,(BM25|STS)+Reranker+LLM,3
51,14268,2,(BM25|STS)+Reranker+LLM,6
51,14270,2,(BM25|STS)+Reranker+LLM,7
51,31251,2,(BM25|STS)+Reranker+LLM,8
51,14279,2,(BM25|STS)+Reranker+LLM,10
51,43452,1,BM25+LLM,584
51,33914,0,BM25+LLM,29
51,27993,0,BM25+LLM,249
51,31570,0,BM25+LLM,406
51,88886,0,BM25+LLM,436
52,139391,3,(BM25|STS)+Reranker+LLM,1
52,40940,3,(BM25|STS)+Reranker+LLM,2
52,72733,3,(BM25|STS)+Reranker+LLM,3
52,106389,3,(BM25|STS)+Reranker+LLM,4
52,36391,3,(BM25|STS)+Reranker+LLM,5
52,43860,3,(BM25|STS)+Reranker+LLM,6
52,23081,3,(BM25|STS)+Reranker+LLM,7
52,15181,3,(BM25|STS)+Reranker+LLM,8
52,25645,3,(BM25|STS)+Reranker+LLM,9
52,150633,3,(BM25|STS)+Reranker+LLM,10
52,97974,1,BM25+LLM,90
52,37660,1,BM25+LLM,119
52,41964,1,BM25+LLM,394
52,23671,0,BM25+LLM,215
52,25694,0,BM25+LLM,261
53,48357,3,(BM25|STS)+Reranker+LLM,1
53,22101,2,(BM25|STS)+Reranker+LLM,2
53,21817,2,(BM25|STS)+Reranker+LLM,3
53,21801,2,(BM25|STS)+Reranker+LLM,4
53,26373,2,(BM25|STS)+Reranker+LLM,5
53,25757,2,(BM25|STS)+Reranker+LLM,6
53,33069,2,(BM25|STS)+Reranker+LLM,7
53,22211,2,(BM25|STS)+Reranker+LLM,8
53,22212,2,(BM25|STS)+Reranker+LLM,9
53,92041,2,(BM25|STS)+Reranker+LLM,10
53,31076,1,BM25+LLM,34
53,18334,1,BM25+LLM,121
53,22909,0,BM25+LLM,262
53,34742,0,BM25+LLM,267
53,15234,0,BM25+LLM,501
54,19407,3,(BM25|STS)+Reranker+LLM,7
54,26373,2,(BM25|STS)+Reranker+LLM,1
54,25757,2,(BM25|STS)+Reranker+LLM,2
